Reading training examples...done
Iter 190: +++++++++:*(NumConst=110, SV=54, CEps=2.2186, QPEps=0.9093)
Iter 191: +++++++++.........:*(NumConst=111, SV=55, CEps=38.9486, QPEps=10.0670)
Iter 192: +++++++++.........:*(NumConst=111, SV=56, CEps=23.8556, QPEps=6.8314)
Iter 193: +++++++++:*(NumConst=112, SV=51, CEps=4.1498, QPEps=1.7357)
Iter 194: +++++++++:*(NumConst=113, SV=51, CEps=2.5910, QPEps=0.7043)
Iter 195: +++++++++:*(NumConst=112, SV=49, CEps=3.2026, QPEps=1.1539)
Iter 196: +++++++++.........:*(NumConst=113, SV=50, CEps=29.8367, QPEps=6.5592)
Iter 197: +++++++++.........:*(NumConst=113, SV=49, CEps=22.8040, QPEps=6.9468)
Iter 198: +++++++++:*(NumConst=113, SV=49, CEps=2.6219, QPEps=1.1671)
Iter 199: +++++++++:*(NumConst=114, SV=49, CEps=3.8530, QPEps=0.8170)
Iter 200: +++++++++:*(NumConst=115, SV=52, CEps=2.4491, QPEps=1.1716)
Iter 201: +++++++++.........:*(NumConst=116, SV=52, CEps=35.7973, QPEps=8.7045)
Iter 202: +++++++++.........:*(NumConst=116, SV=52, CEps=17.6739, QPEps=5.6839)
Iter 203: +++++++++:*(NumConst=117, SV=50, CEps=3.2859, QPEps=1.3441)
Iter 204: +++++++++:*(NumConst=117, SV=52, CEps=3.1792, QPEps=1.1389)
Iter 205: +++++++++:*(NumConst=118, SV=52, CEps=2.4297, QPEps=0.9672)
Iter 206: +++++++++:*(NumConst=119, SV=51, CEps=2.0814, QPEps=0.8053)
Iter 207: +++++++++.........:*(NumConst=118, SV=51, CEps=34.7109, QPEps=6.7813)
Iter 208: +++++++++:*(NumConst=118, SV=51, CEps=2.7741, QPEps=0.7672)
Iter 209: +++++++++.........:*(NumConst=119, SV=51, CEps=22.5918, QPEps=4.2011)
Iter 210: +++++++++:*(NumConst=120, SV=49, CEps=2.1103, QPEps=0.9001)
Iter 211: +++++++++:*(NumConst=120, SV=47, CEps=2.4628, QPEps=0.9288)
Iter 212: +++++++++:*(NumConst=118, SV=53, CEps=1.9459, QPEps=0.7663)
Iter 213: +++++++++:*(NumConst=119, SV=52, CEps=1.8126, QPEps=0.4992)
Iter 214: +++++++++.........:*(NumConst=120, SV=54, CEps=40.5123, QPEps=2.5139)
Iter 215: +++++++++.........:*(NumConst=120, SV=54, CEps=26.9533, QPEps=2.5511)
Iter 216: +++++++++:*(NumConst=121, SV=51, CEps=2.0969, QPEps=1.0050)
Iter 217: +++++++++.........:*(NumConst=121, SV=52, CEps=23.4905, QPEps=5.2864)
Iter 218: +++++++++.........:*(NumConst=119, SV=54, CEps=16.2031, QPEps=7.6569)
Iter 219: +++++++++.........:*(NumConst=118, SV=54, CEps=17.7317, QPEps=5.7519)
Iter 220: +++++++++:*(NumConst=119, SV=53, CEps=1.9013, QPEps=0.7357)
Iter 221: +++++++++:*(NumConst=119, SV=52, CEps=4.5596, QPEps=0.8735)
Iter 222: +++++++++:*(NumConst=120, SV=55, CEps=2.9154, QPEps=0.9108)
Iter 223: +++++++++:*(NumConst=121, SV=53, CEps=1.8704, QPEps=0.8378)
Iter 224: +++++++++:*(NumConst=122, SV=52, CEps=2.5575, QPEps=0.7607)
Iter 225: +++++++++.........:*(NumConst=122, SV=54, CEps=22.5072, QPEps=7.7716)
Iter 226: +++++++++:*(NumConst=123, SV=50, CEps=1.6269, QPEps=0.3450)
Iter 227: +++++++++:*(NumConst=123, SV=52, CEps=1.9052, QPEps=0.6903)
Iter 228: +++++++++:*(NumConst=123, SV=53, CEps=1.9380, QPEps=0.6389)
Iter 229: +++++++++.........:*(NumConst=123, SV=52, CEps=21.7728, QPEps=4.9563)
Iter 230: +++++++++.........:*(NumConst=124, SV=55, CEps=14.0431, QPEps=4.3303)
Iter 231: +++++++++:*(NumConst=124, SV=51, CEps=2.0573, QPEps=0.9756)
Iter 232: +++++++++:*(NumConst=123, SV=53, CEps=2.2654, QPEps=0.7776)
Iter 233: +++++++++:*(NumConst=121, SV=53, CEps=2.3710, QPEps=0.7428)
Iter 234: +++++++++.........:*(NumConst=120, SV=52, CEps=21.2252, QPEps=5.1929)
Iter 235: +++++++++.........:*(NumConst=120, SV=52, CEps=13.5784, QPEps=6.3106)
Iter 236: +++++++++:*(NumConst=121, SV=51, CEps=1.5873, QPEps=0.6789)
Iter 237: +++++++++:*(NumConst=122, SV=53, CEps=2.6255, QPEps=0.4451)
